Timestamp,Where do you currently reside? (Select one),What is your age group? (Select one),What is your current employment status? (Select one),  What is your primary source of income?  ,What is your monthly income range (in KES)? (Select one),Do you currently have access to financial advisory services? (Select one),How would you rate your financial literacy? (Linear scale: 1-5),What are your primary financial goals? (Select all that apply),What challenges do you face in achieving your financial goals? (Select all that apply),How often do you seek financial advice? (Select one),Which financial advisory services have you used before?  ,Would you consider using an AI-powered chatbot for financial advice? (Select one),Which chatbot features would be most useful to you? (Select all that apply),What would make you trust an AI-powered financial advisory chatbot? (Select all that apply),How comfortable are you with using digital platforms for financial planning? (Select one),What concerns would you have about using a financial chatbot?  ,What additional features or support would you like from a financial advisory chatbot? (Open-ended question),Any other comments or suggestions? (Open-ended question)
2/27/2025 18:51,Nairobi,25-40 years,Unemployed,Salary/Wages,"Less than 20,000",No,3,Retirement planning,Lack of financial knowledge,Rarely (Only when needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized investment advice,Strong data privacy and security policies,Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Proper investment ,When is the AI coming up though 
2/25/2025 17:40,Murang'a ,25-40 years,Employed (Part-time),Salary/Wages,"Less than 20,000",Yes,4,"Saving for education, Retirement planning, Investment opportunities",Lack of financial knowledge,Rarely (Only when needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Real-time financial tips, Integration with my existing financial accounts",Strong data privacy and security policies,Somewhat Comfortable,Accuracy of information,Testimonials,Cost of financial services should be favourable
2/25/2025 14:19,Nairobi,41-60 years,Employed (Part-time),Salary/Wages,"100,001 and above",No,3,Retirement planning,Limited access to financial advisors,Rarely (Only when needed),Investment Firms,Yes,"Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Availability of expert human support if needed",Somewhat Comfortable,Data privacy and security,Calculator ,None 
2/28/2025 22:24,Vihiga ,41-60 years,Employed (Full-time),Salary/Wages,"Less than 20,000",No,3,"Saving for education, Investment opportunities",Limited access to financial advisors,Rarely (Only when needed),"Insurance Companies, Mobile Money Services (e.g., M-Pesa)",Yes,Personalized investment advice,"Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security",A link to a human financial advisor interaction.,An advisory chatbot would come in handy in contemporary finance 
3/5/2025 11:57,Kakamega,41-60 years,Unemployed,Business/Entrepreneurship,"50,001-100,000",No,4,Investment opportunities,High cost of advisory services,Rarely (Only when needed),"Banks/Financial Institutions, Online Financial Platforms",Yes,Personalized investment advice,Accurate and reliable financial advice,Somewhat Comfortable,Data privacy and security,None,Leads to several other information unknowingly 
2/28/2025 22:22,Malaba ,25-40 years,Employed (Part-time),Business/Entrepreneurship,"20,000-50,000",No,4,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Insurance Companies, Investment Firms",Yes,"Personalized investment advice, Budgeting and expense tracking",Availability of expert human support if needed,Very comfortable,Data privacy and security,Proper investment ,They should give examples 
2/27/2025 14:03,Kakamega ,25-40 years,Employed (Part-time),Business/Entrepreneurship,"20,000-50,000",No,3,Investment opportunities,"Lack of financial knowledge, Limited access to financial advisors, High cost of advisory services, Lack of trust in financial advisors",Never,"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Accurate and reliable financial advice,Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Testimonials,No.
2/28/2025 22:30,Nairobi,25-40 years,Self-Employed,Business/Entrepreneurship,"Less than 20,000",No,1,"Saving for education, Buying a home, Retirement planning, Investment opportunities, Managing debt","Lack of financial knowledge, Limited access to financial advisors",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Real-time financial tips,"Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Accuracy of information,Customization of the chats to my preferences.,No
2/28/2025 12:27,Nakuru,41-60 years,Employed (Part-time),Family Support,"20,000-50,000",No,4,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,"Accuracy of information, Data privacy and security",Graphical representation of concepts,Make it as simple as possible 
2/25/2025 17:40,Nakuru,25-40 years,Employed (Full-time),Commission ,"100,001 and above",Yes,3,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Accurate and reliable financial advice,Somewhat Comfortable,Data privacy and security,Non,Make it as simple as possible 
2/25/2025 20:29,Nairobi,18-24 years,Unemployed,Salary/Wages,"Less than 20,000",No,2,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),Online Financial Platforms,Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Trust in automated financial advice,Retraceable/Retrievable,No comment 
2/25/2025 14:48,Kisumu,41-60 years,Employed (Part-time),Salary/Wages,"20,000-50,000",No,3,Retirement planning,High cost of advisory services,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), None",Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts",Accurate and reliable financial advice,Somewhat Comfortable,Data privacy and security,Retraceable/Retrievable,Not satisfied
2/28/2025 12:01,Nairobi,41-60 years,Self-Employed,Salary/Wages,"50,001-100,000",No,5,Investment opportunities,Cost of living,Rarely (Only when needed),Investment Firms,Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts",Availability of expert human support if needed,Very comfortable,"Accuracy of information, Trust in automated financial advice",Voice feature,Succeed in investing
3/1/2025 11:07,Kisumu,25-40 years,Retired,Salary/Wages,"100,001 and above",No,2,"Retirement planning, Investment opportunities",High cost of advisory services,Rarely (Only when needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",No,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Strong data privacy and security policies,Very comfortable,Accuracy of information,Learn how to invest and grow the money I have ,None
3/1/2025 11:17,Nairobi,18-24 years,Employed (Part-time),Business/Entrepreneurship,"Less than 20,000",Yes,3,Investment opportunities,Lack of trust in financial advisors,Never,"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Security measures for my financial investment ,Non as of now
2/28/2025 12:17,Kiambu ,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),None,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Accuracy of information,None,Nada
2/25/2025 19:02,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"50,001-100,000",Yes,3,"Saving for education, Buying a home, Retirement planning, Investment opportunities","Lack of financial knowledge, Limited access to financial advisors, High cost of advisory services, Lack of trust in financial advisors",Rarely (Only when needed),Insurance Companies,Yes,"Personalized investment advice, Budgeting and expense tracking","Strong data privacy and security policies, Easy-to-use and intuitive interface",Somewhat Comfortable,Data privacy and security,None,None 
2/27/2025 20:20,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice",Somewhat Comfortable,Accuracy of information,Accessibility ,Non at the moment 
2/25/2025 17:10,Nairobi,25-40 years,Employed (Full-time),Business/Entrepreneurship,Prefer not to say,Yes,3,"Retirement planning, Investment opportunities",Cost of living,Frequently (Weekly or Monthly),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Retraceable/Retrievable,None 
2/28/2025 6:13,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,4,"Saving for education, Buying a home, Retirement planning, Investment opportunities, Managing debt","Limited access to financial advisors, Lack of trust in financial advisors",Rarely (Only when needed),None,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Accuracy of information,Financial records,You should be able to suggest real time job opportunities around me
2/28/2025 20:20,Mombasa,61 years and above,Employed (Part-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Lack of capital for livestock farming,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,Data privacy and security,Proper investment ,None
2/28/2025 21:29,Kakamega,25-40 years,Unemployed,Family Support,"20,000-50,000",No,5,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa), Online Financial Platforms",Yes,"Personalized investment advice, Integration with my existing financial accounts",Accurate and reliable financial advice,Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",I would love links to job opportunities for extra cash ,More investment plans 
2/26/2025 8:45,Nairobi,18-24 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,2,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms",Yes,Personalized investment advice,"Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Ease of understanding responses,50-30-20 rule,Good customer service 
3/2/2025 1:22,Kisumu,41-60 years,Employed (Full-time),Salary/Wages,Prefer not to say,Yes,3,Investment opportunities,Limited access to financial advisors,Never,"Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Strong data privacy and security policies,Somewhat Comfortable,Accuracy of information,A free training ,Succeed in investing
2/27/2025 14:39,Eldoret ,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,4,"Saving for education, Investment opportunities",Lack of financial knowledge,Frequently (Weekly or Monthly),"Mobile Money Services (e.g., M-Pesa), None",No,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,Ease of understanding responses,Learn how to invest and grow the money I have ,Make it as simple as possible 
2/28/2025 21:29,Nairobi,25-40 years,Student,Salary/Wages,"20,000-50,000",No,4,"Investment opportunities, Managing debt",Lack of trust in financial advisors,Rarely (Only when needed),Online Financial Platforms,Yes,"Personalized investment advice, Real-time financial tips",Availability of expert human support if needed,Somewhat Comfortable,Data privacy and security,Voice assistant ,When is the AI coming up though 
2/27/2025 14:35,Nairobi,25-40 years,Self-Employed,Business/Entrepreneurship,"100,001 and above",Yes,5,"Retirement planning, Investment opportunities","Limited access to financial advisors, High cost of advisory services, Lack of trust in financial advisors",Frequently (Weekly or Monthly),"Insurance Companies, Online Financial Platforms",Yes,Personalized investment advice,Accurate and reliable financial advice,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Timely financial prompts when investment opportunities are available.,None 
2/25/2025 15:19,Kampala ,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",No,1,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),Online Financial Platforms,Yes,Real-time financial tips,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Somewhat Comfortable,Data privacy and security,Graphical representation of concepts,Ai can help you meet your financial expectations when you use ot
2/28/2025 12:39,Kisumu,18-24 years,Employed (Part-time),Salary/Wages,"50,001-100,000",No,5,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Family/Friends/Informal Groups",No,Budgeting and expense tracking,Easy-to-use and intuitive interface,Very comfortable,"Accuracy of information, Data privacy and security",A planner sort of budgetary tool.,No
2/28/2025 22:22,Nakuru,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,2,Investment opportunities,"Limited access to financial advisors, High cost of advisory services",Frequently (Weekly or Monthly),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Real-time financial tips, Integration with my existing financial accounts","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,Data privacy and security,Integration with different operating systems,Grateful for this eye opening financial knowledge 
2/25/2025 18:47,Nairobi,25-40 years,Self-Employed,Salary/Wages,"100,001 and above",No,4,Saving for education,Lack of financial knowledge,Rarely (Only when needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Integration with my existing financial accounts",Strong data privacy and security policies,Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",On saving and how to get capital for business,No
3/2/2025 18:31,Nairobi,25-40 years,Employed (Full-time),Commission ,Prefer not to say,Yes,3,Oii,Lack of trust in financial advisors,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Accurate and reliable financial advice,Somewhat Comfortable,"Accuracy of information, Data privacy and security",Financial support,Grateful for this eye opening financial knowledge 
3/1/2025 18:17,Kajiado,25-40 years,Student,Salary/Wages,"Less than 20,000",No,4,"Investment opportunities, Managing debt",Limited access to financial advisors,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,"Personalized investment advice, Budgeting and expense tracking","Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,"Accuracy of information, Data privacy and security",Evidence based recommendations ,Make it as simple as possible 
3/4/2025 4:59,Uganda,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",Yes,3,Investment opportunities,Lack of capital ,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,Budgeting and expense tracking,Accurate and reliable financial advice,Somewhat Comfortable,Trust in automated financial advice,Giving of Living examples ,Let the financial advisory be affordable 
2/27/2025 14:06,Bungoma,25-40 years,Employed (Part-time),Salary/Wages,"50,001-100,000",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice",Very comfortable,"Data privacy and security, Trust in automated financial advice",50-30-20 rule,Not satisfied
2/27/2025 14:06,Nairobi,25-40 years,Employed (Full-time),Business/Entrepreneurship,"50,001-100,000",No,5,"Saving for education, Retirement planning, Investment opportunities",Limited funds,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",No,"Budgeting and expense tracking, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Not comfortable,Accuracy of information,Financial prediction options,No
3/1/2025 20:03,Nairobi,18-24 years,Employed (Full-time),Salary/Wages,"100,001 and above",No,3,Investment opportunities,Limited financial sources ,Frequently (Weekly or Monthly),None,Yes,"Budgeting and expense tracking, Integration with my existing financial accounts",Strong data privacy and security policies,Very comfortable,Accuracy of information,On saving and how to get capital for business,Leads to several other information unknowingly 
3/2/2025 1:22,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"50,001-100,000",Yes,3,Investment opportunities,Lack of financial knowledge,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Availability of expert human support if needed,Somewhat Comfortable,"Accuracy of information, Data privacy and security",A free training ,None
2/28/2025 6:13,Bungoma ,25-40 years,Unemployed,Salary/Wages,Prefer not to say,No,3,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),Family/Friends/Informal Groups,Yes,Personalized investment advice,"Strong data privacy and security policies, Availability of expert human support if needed",Very comfortable,Ease of understanding responses,"1.	Personalized Financial Planning: 
Ability to create tailored financial plans based on individual user profiles, goals, risk tolerance, and financial situations.
Integration with user financial accounts to provide real-time insights and personalized advice.
2.	Comprehensive Investment Guidance:
In-depth analysis of various investment options, including stocks, bonds, mutual funds, and ETFs, with market trends and performance data.
Suggestions for asset allocation based on personal risk assessment and financial objectives.
3.	Goal-Based Financial Analytics:
Features that allow users to set specific financial goals (e.g., retirement, education savings, home purchase) and track their progress over time.
Visual tools, such as charts and graphs, to help illustrate progress toward these goals.

4.	Tax Optimization Strategies:
Advice on tax-efficient investment strategies and tax-saving options, including contributions to retirement accounts and tax credits.
Alerts for tax deadlines and reminders for necessary documentation.

5.	Education and Resources:
Access to informative articles, tutorials, and videos covering a wide range of financial topics, from budgeting to investing and retirement planning.
Interactive quizzes or assessments that help users learn more about their financial literacy.



6.	AI-Powered Market Analysis:
Real-time market analysis and forecasts driven by AI algorithms, helping users make informed investment decisions.
Alerts for significant market events or trends that might impact user portfolios.

7.	Integration with Financial Tools:
Seamless integration with budgeting apps, retirement planners, and other financial management tools.
Compatibility with various financial institutions for easy data sharing and updates.

8.	Regulatory and Compliance Updates:
Regular updates on changes in regulations, fiscal policies, tax administration laws, and any impacts they may have on personal finance and investment strategies.
Alerts for critical changes that users need to be aware of for their financial planning.

9.	Mental Wellness Integration:
Support for financial wellness and stress management, offering resources and advice on the emotional aspects of financial decision-making.
Modules on the relationship between mental well-being and personal finance, including coping strategies for financial stress.

10.	User Feedback Mechanism:
A system for users to provide feedback on chatbot responses to improve the quality and relevance of future interactions.
Ability for users to rate responses and suggest topics of interest.
",An advisory chatbot would come in handy in contemporary finance 
2/28/2025 12:17,Kericho,25-40 years,Employed (Part-time),Business/Entrepreneurship,Prefer not to say,No,3,Investment opportunities,"Limited access to financial advisors, High cost of advisory services",Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized investment advice,Easy-to-use and intuitive interface,Very comfortable,"Ease of understanding responses, Trust in automated financial advice",Analysis of macroeconomics variables ,No
3/1/2025 9:14,Kampala ,61 years and above,Employed (Full-time),Salary/Wages,"50,001-100,000",No,3,Investment opportunities,Insufficient cash flow,Never,"Mobile Money Services (e.g., M-Pesa)",Yes,Personalized investment advice,Strong data privacy and security policies,Somewhat Comfortable,Data privacy and security,Financial calculation,I loved the approach 
2/25/2025 17:10,Rongo,18-24 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,5,Retirement planning,Limited access to financial advisors,Rarely (Only when needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,Budgeting and expense tracking,Availability of expert human support if needed,Somewhat Comfortable,Data privacy and security,Support on financial issues ,Reduce costs on AI related apps 
2/25/2025 14:48,Kakamega ,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,3,Investment opportunities,Lack of trust in financial advisors,Rarely (Only when needed),Banks/Financial Institutions,Yes,Personalized investment advice,"Strong data privacy and security policies, Accurate and reliable financial advice, Availability of expert human support if needed",Somewhat Comfortable,"Data privacy and security, Trust in automated financial advice",Time saving,this is a good idea
2/26/2025 17:24,Kisumu,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,3,Saving for education,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface, Availability of expert human support if needed",Very comfortable,Accuracy of information,Real time investment opportunities as well as continuous support ,Good feedback and advisory on improvement 
2/27/2025 20:20,Kajiado,25-40 years,Unemployed,Salary/Wages,"20,000-50,000",No,3,"Saving for education, Investment opportunities, Managing debt",Limited financial sources ,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking",Strong data privacy and security policies,Very comfortable,"Accuracy of information, Data privacy and security, Trust in automated financial advice",How to spend money ,I loved the approach 
2/27/2025 15:22,Nairobi,25-40 years,Self-Employed,Salary/Wages,"20,000-50,000",No,4,Retirement planning,Lack of financial knowledge,Frequently (Weekly or Monthly),Family/Friends/Informal Groups,Yes,"Personalized investment advice, Real-time financial tips","Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Somewhat Comfortable,Accuracy of information,Forecasting,No
2/28/2025 12:17,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),Investment Firms,Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Integration with my existing financial accounts","Strong data privacy and security policies, Accurate and reliable financial advice, Availability of expert human support if needed",Somewhat Comfortable,Accuracy of information,Livestock farming business,This would be a good AI powered chatbot
2/27/2025 18:20,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,2,"Retirement planning, Investment opportunities",Limited access to financial advisors,Never,"Insurance Companies, Mobile Money Services (e.g., M-Pesa)",Yes,Integration with my existing financial accounts,"Strong data privacy and security policies, Accurate and reliable financial advice, Easy-to-use and intuitive interface",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Financial calculation,This would be a good AI powered chatbot
2/28/2025 13:34,Kakamega ,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,4,Buying a home,Lack of financial knowledge,Rarely (Only when needed),Banks/Financial Institutions,No,"Personalized investment advice, Real-time financial tips, Multilingual support",Availability of expert human support if needed,Very comfortable,"Data privacy and security, Trust in automated financial advice",advance,No
2/25/2025 15:43,Nairobi,25-40 years,Employed (Full-time),Salary/Wages,"Less than 20,000",Yes,3,Investment opportunities,Lack of financial knowledge,Frequently (Weekly or Monthly),Family/Friends/Informal Groups,Yes,Budgeting and expense tracking,Strong data privacy and security policies,Somewhat Comfortable,Data privacy and security,Financial opportunities ,Grateful for this eye opening financial knowledge 
2/27/2025 14:03,Bungoma ,18-24 years,Employed (Full-time),Salary/Wages,"20,000-50,000",Yes,5,"Saving for education, Buying a home, Retirement planning, Investment opportunities",Lack of financial knowledge,Never,"Investment Firms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Accurate and reliable financial advice,Somewhat Comfortable,Data privacy and security,Assurance of safety of my finances,No comment 
2/27/2025 23:35,Nairobi,25-40 years,Employed (Full-time),Family Support,Prefer not to say,No,3,Investment opportunities,Limited funds,Rarely (Only when needed),Banks/Financial Institutions,Yes,Budgeting and expense tracking,"Strong data privacy and security policies, Easy-to-use and intuitive interface",Very comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice",Security measures for my financial investment ,No
3/1/2025 11:17,Nairobi,41-60 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,4,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Banks/Financial Institutions, Mobile Money Services (e.g., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Multilingual support, Integration with my existing financial accounts",Availability of expert human support if needed,Somewhat Comfortable,Data privacy and security,Accurate and updated information, Easy to access
2/28/2025 23:32,Kisumu,25-40 years,Unemployed,Business/Entrepreneurship,"20,000-50,000",Yes,4,"Investment opportunities, Managing debt",High cost of advisory services,Rarely (Only when needed),"Insurance Companies, Investment Firms",Yes,"Personalized investment advice, Budgeting and expense tracking",Easy-to-use and intuitive interface,Very comfortable,Data privacy and security,Being successful needs bright minded advisors ,Non
2/28/2025 12:14,Kisumu,25-40 years,Employed (Full-time),Salary/Wages,"20,000-50,000",No,5,Saving for education,"Lack of financial knowledge, Limited access to financial advisors",Frequently (Weekly or Monthly),"Banks/Financial Institutions, Investment Firms",Yes,Personalized investment advice,Strong data privacy and security policies,Very comfortable,Accuracy of information,Data security ,Not satisfied
2/27/2025 14:39,Kisumu,41-60 years,Self-Employed,Business/Entrepreneurship,"Less than 20,000",No,3,Investment opportunities,Limited access to financial advisors,Rarely (Only when needed),"Mobile Money Services (e.g., M-Pesa)",Yes,Personalized investment advice,"Strong data privacy and security policies, Easy-to-use and intuitive interface",Somewhat Comfortable,"Accuracy of information, Data privacy and security","one on one talks with the client, ", Easy to access
2/25/2025 17:29,Kisumu,25-40 years,Employed (Full-time),Salary/Wages,"50,001-100,000",No,5,"Retirement planning, Investment opportunities",Limited access to financial advisors,Frequently (Weekly or Monthly),Online Financial Platforms,No,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips",Availability of expert human support if needed,Very comfortable,Trust in automated financial advice,"one on one talks with the client, ",How to use money without wastage
2/27/2025 21:44,VIHIGA ,25-40 years,Employed (Full-time),Salary/Wages,"100,001 and above",Yes,2,Investment opportunities,Insufficient cash flow,Frequently (Weekly or Monthly),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized investment advice, Budgeting and expense tracking, Real-time financial tips, Integration with my existing financial accounts",Availability of expert human support if needed,Somewhat Comfortable,"Accuracy of information, Data privacy and security, Ease of understanding responses, Trust in automated financial advice","1.	Personalized Financial Planning: 
Ability to create tailored financial plans based on individual user profiles, goals, risk tolerance, and financial situations.
Integration with user financial accounts to provide real-time insights and personalized advice.
2.	Comprehensive Investment Guidance:
In-depth analysis of various investment options, including stocks, bonds, mutual funds, and ETFs, with market trends and performance data.
Suggestions for asset allocation based on personal risk assessment and financial objectives.
3.	Goal-Based Financial Analytics:
Features that allow users to set specific financial goals (e.g., retirement, education savings, home purchase) and track their progress over time.
Visual tools, such as charts and graphs, to help illustrate progress toward these goals.

4.	Tax Optimization Strategies:
Advice on tax-efficient investment strategies and tax-saving options, including contributions to retirement accounts and tax credits.
Alerts for tax deadlines and reminders for necessary documentation.

5.	Education and Resources:
Access to informative articles, tutorials, and videos covering a wide range of financial topics, from budgeting to investing and retirement planning.
Interactive quizzes or assessments that help users learn more about their financial literacy.



6.	AI-Powered Market Analysis:
Real-time market analysis and forecasts driven by AI algorithms, helping users make informed investment decisions.
Alerts for significant market events or trends that might impact user portfolios.

7.	Integration with Financial Tools:
Seamless integration with budgeting apps, retirement planners, and other financial management tools.
Compatibility with various financial institutions for easy data sharing and updates.

8.	Regulatory and Compliance Updates:
Regular updates on changes in regulations, fiscal policies, tax administration laws, and any impacts they may have on personal finance and investment strategies.
Alerts for critical changes that users need to be aware of for their financial planning.

9.	Mental Wellness Integration:
Support for financial wellness and stress management, offering resources and advice on the emotional aspects of financial decision-making.
Modules on the relationship between mental well-being and personal finance, including coping strategies for financial stress.

10.	User Feedback Mechanism:
A system for users to provide feedback on chatbot responses to improve the quality and relevance of future interactions.
Ability for users to rate responses and suggest topics of interest.
",Digital financial advice missing link in social platforms 
