Timestamp,Location,Age Group,Employment Status,  What is your primary source of income?  ,Monthly Income Range (KES),Access to Financial Advisory Services,Financial Literacy Level,Primary Financial Goals,Financial Challenges,Frequency of Seeking Financial Advice,Which financial advisory services have you used before?  ,Interest in AI-powered Chatbot,Preferred Chatbot Features,Trust Factors for Chatbots,Comfort with Digital Financial Planning,What concerns would you have about using a financial chatbot?  ,Additional Features Requested,Other Comments,Literacy Category,Income Ordinal,Income Category,Adoption Potential,User Segment
2/28/2025 22:24,Kakamega,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,3,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities","Lack Of Financial Knowledge, Limited Access To Financial Advisors",Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Somewhat Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Analysis Of Macroeconomics Variables,You Should Be Able To Suggest Real Time Job Opportunities Around Me,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 17:26,Nairobi,25-40 Years,Student,Family Support,"20,000-50,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Easy-To-Use And Intuitive Interface,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Unknown,More Information About Finances,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/2/2025 13:06,Nairobi,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"20,000-50,000",No,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support",Strong Data Privacy And Security Policies,Somewhat Comfortable,Accuracy Of Information,Financial Adv,Good Customer Service,High,20,Low,Neutral,High Literacy - Low Income
3/1/2025 18:54,Kapsowar,41-60 Years,Employed (Full-Time),Family Support,"20,000-50,000",Yes,3,Retirement Planning,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking",Availability Of Expert Human Support If Needed,Very Comfortable,Accuracy Of Information,Voice Assistant,Its Trusted,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:27,Nairobi,61 Years And Above,Self-Employed,Family Support,"20,000-50,000",No,2,Investment Opportunities,Lack Of Financial Knowledge,Never,Unknown,No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Easy-To-Use And Intuitive Interface,Very Comfortable,Accuracy Of Information,Analysis Of Macroeconomics Variables,Cost Of Financial Services Should Be Favourable,Low,20,Low,Neutral,Low Literacy - Low Income
3/1/2025 9:00,Mombasa,25-40 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,Yes,4,"Investment Opportunities, Managing Debt",High Cost Of Advisory Services,Rarely (Only When Needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Security Measures For My Financial Investment,Reduce Costs On Ai Related Apps,High,0,,Neutral,High Literacy - nan Income
2/28/2025 22:48,Bungoma,18-24 Years,Teacher,Business/Entrepreneurship,"20,000-50,000",Yes,3,"Saving For Education, Investment Opportunities","Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,Non,Make It As Simple As Possible,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:27,Narok,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,2,Investment Opportunities,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Accurate And Updated Information,Unknown,Low,20,Low,Neutral,Low Literacy - Low Income
2/25/2025 15:19,Nairobi,25-40 Years,Unemployed,Salary/Wages,"20,000-50,000",Yes,5,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities","Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Financial Records,Digital Financial Advice Missing Link In Social Platforms,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 16:22,Kisumu,25-40 Years,Self-Employed,Salary/Wages,"20,000-50,000",No,5,Retirement Planning,"High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Never,Investment Firms,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Very Comfortable,Trust In Automated Financial Advice,Open,None,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 18:51,Nairobi,25-40 Years,Unemployed,Salary/Wages,"Less Than 20,000",No,3,Retirement Planning,Lack Of Financial Knowledge,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Strong Data Privacy And Security Policies,Somewhat Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Proper Investment,When Is The Ai Coming Up Though,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 17:40,Murang'A,25-40 Years,Employed (Part-Time),Salary/Wages,"Less Than 20,000",Yes,4,"Saving For Education, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Rarely (Only When Needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Real-Time Financial Tips, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Somewhat Comfortable,Accuracy Of Information,Testimonials,Cost Of Financial Services Should Be Favourable,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 14:19,Nairobi,41-60 Years,Employed (Part-Time),Salary/Wages,"100,001 And Above",No,3,Retirement Planning,Limited Access To Financial Advisors,Rarely (Only When Needed),Investment Firms,Yes,"Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,Calculator,None,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:24,Vihiga,41-60 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,3,"Saving For Education, Investment Opportunities",Limited Access To Financial Advisors,Rarely (Only When Needed),"Insurance Companies, Mobile Money Services (E.G., M-Pesa)",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",A Link To A Human Financial Advisor Interaction.,An Advisory Chatbot Would Come In Handy In Contemporary Finance,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/5/2025 11:57,Kakamega,41-60 Years,Unemployed,Business/Entrepreneurship,"50,001-100,000",No,4,Investment Opportunities,High Cost Of Advisory Services,Rarely (Only When Needed),"Banks/Financial Institutions, Online Financial Platforms",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Somewhat Comfortable,Data Privacy And Security,Unknown,Leads To Several Other Information Unknowingly,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 22:22,Malaba,25-40 Years,Employed (Part-Time),Business/Entrepreneurship,"20,000-50,000",No,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Insurance Companies, Investment Firms",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking",Availability Of Expert Human Support If Needed,Very Comfortable,Data Privacy And Security,Proper Investment,They Should Give Examples,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 14:03,Kakamega,25-40 Years,Employed (Part-Time),Business/Entrepreneurship,"20,000-50,000",No,3,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Never,"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Testimonials,No.,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:30,Nairobi,25-40 Years,Self-Employed,Business/Entrepreneurship,"Less Than 20,000",No,1,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt","Lack Of Financial Knowledge, Limited Access To Financial Advisors",Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Real-Time Financial Tips,"Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Accuracy Of Information,Customization Of The Chats To My Preferences.,No,Low,20,Low,Neutral,Low Literacy - Low Income
2/28/2025 12:27,Nakuru,41-60 Years,Employed (Part-Time),Family Support,"20,000-50,000",No,4,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,"Accuracy Of Information, Data Privacy And Security",Graphical Representation Of Concepts,Make It As Simple As Possible,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 17:40,Nakuru,25-40 Years,Employed (Full-Time),Commission,"100,001 And Above",Yes,3,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,Data Privacy And Security,Non,Make It As Simple As Possible,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/25/2025 20:29,Nairobi,18-24 Years,Unemployed,Salary/Wages,"Less Than 20,000",No,2,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),Online Financial Platforms,Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Trust In Automated Financial Advice,Retraceable/Retrievable,No Comment,Low,20,Low,Neutral,Low Literacy - Low Income
2/25/2025 14:48,Kisumu,41-60 Years,Employed (Part-Time),Salary/Wages,"20,000-50,000",No,3,Retirement Planning,High Cost Of Advisory Services,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), None",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,Data Privacy And Security,Retraceable/Retrievable,Not Satisfied,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:01,Nairobi,41-60 Years,Self-Employed,Salary/Wages,"50,001-100,000",No,5,Investment Opportunities,Cost Of Living,Rarely (Only When Needed),Investment Firms,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Availability Of Expert Human Support If Needed,Very Comfortable,"Accuracy Of Information, Trust In Automated Financial Advice",Voice Feature,Succeed In Investing,High,50,Low,Neutral,High Literacy - Low Income
3/1/2025 11:07,Kisumu,25-40 Years,Retired,Salary/Wages,"100,001 And Above",No,2,"Retirement Planning, Investment Opportunities",High Cost Of Advisory Services,Rarely (Only When Needed),"Banks/Financial Institutions, Family/Friends/Informal Groups",No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Very Comfortable,Accuracy Of Information,Learn How To Invest And Grow The Money I Have,Unknown,Low,100,Low,Neutral,Low Literacy - Low Income
3/1/2025 11:17,Nairobi,18-24 Years,Employed (Part-Time),Business/Entrepreneurship,"Less Than 20,000",Yes,3,Investment Opportunities,Lack Of Trust In Financial Advisors,Never,"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Security Measures For My Financial Investment,Non As Of Now,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:17,Kiambu,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Unknown,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Unknown,Nada,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 19:02,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",Yes,3,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities","Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Insurance Companies,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Data Privacy And Security,Unknown,None,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/27/2025 20:20,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Somewhat Comfortable,Accuracy Of Information,Accessibility,Non At The Moment,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 17:10,Nairobi,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,Prefer Not To Say,Yes,3,"Retirement Planning, Investment Opportunities",Cost Of Living,Frequently (Weekly Or Monthly),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Retraceable/Retrievable,None,Medium,0,,Neutral,Medium Literacy - nan Income
2/28/2025 6:13,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,4,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt","Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Unknown,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Accuracy Of Information,Financial Records,You Should Be Able To Suggest Real Time Job Opportunities Around Me,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 20:20,Mombasa,61 Years And Above,Employed (Part-Time),Salary/Wages,"20,000-50,000",No,3,Investment Opportunities,Lack Of Capital For Livestock Farming,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Data Privacy And Security,Proper Investment,Unknown,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 21:29,Kakamega,25-40 Years,Unemployed,Family Support,"20,000-50,000",No,5,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Online Financial Platforms",Yes,"Personalized Investment Advice, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",I Would Love Links To Job Opportunities For Extra Cash,More Investment Plans,High,20,Low,Neutral,High Literacy - Low Income
2/26/2025 8:45,Nairobi,18-24 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,2,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Online Financial Platforms",Yes,Personalized Investment Advice,"Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Ease Of Understanding Responses,50-30-20 Rule,Good Customer Service,Low,50,Low,Neutral,Low Literacy - Low Income
3/2/2025 1:22,Kisumu,41-60 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,Yes,3,Investment Opportunities,Limited Access To Financial Advisors,Never,"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Strong Data Privacy And Security Policies,Somewhat Comfortable,Accuracy Of Information,A Free Training,Succeed In Investing,Medium,0,,Neutral,Medium Literacy - nan Income
2/27/2025 14:39,Eldoret,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,4,"Saving For Education, Investment Opportunities",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa), None",No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Ease Of Understanding Responses,Learn How To Invest And Grow The Money I Have,Make It As Simple As Possible,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 21:29,Nairobi,25-40 Years,Student,Salary/Wages,"20,000-50,000",No,4,"Investment Opportunities, Managing Debt",Lack Of Trust In Financial Advisors,Rarely (Only When Needed),Online Financial Platforms,Yes,"Personalized Investment Advice, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Somewhat Comfortable,Data Privacy And Security,Voice Assistant,When Is The Ai Coming Up Though,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 14:35,Nairobi,25-40 Years,Self-Employed,Business/Entrepreneurship,"100,001 And Above",Yes,5,"Retirement Planning, Investment Opportunities","Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),"Insurance Companies, Online Financial Platforms",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Timely Financial Prompts When Investment Opportunities Are Available.,None,High,100,Low,Neutral,High Literacy - Low Income
2/25/2025 15:19,Kampala,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,1,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),Online Financial Platforms,Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Data Privacy And Security,Graphical Representation Of Concepts,Ai Can Help You Meet Your Financial Expectations When You Use Ot,Low,20,Low,Neutral,Low Literacy - Low Income
2/28/2025 12:39,Kisumu,18-24 Years,Employed (Part-Time),Salary/Wages,"50,001-100,000",No,5,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Family/Friends/Informal Groups",No,Budgeting And Expense Tracking,Easy-To-Use And Intuitive Interface,Very Comfortable,"Accuracy Of Information, Data Privacy And Security",A Planner Sort Of Budgetary Tool.,No,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 22:22,Nakuru,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,2,Investment Opportunities,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Data Privacy And Security,Integration With Different Operating Systems,Grateful For This Eye Opening Financial Knowledge,Low,50,Low,Neutral,Low Literacy - Low Income
2/25/2025 18:47,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"100,001 And Above",No,4,Saving For Education,Lack Of Financial Knowledge,Rarely (Only When Needed),"Insurance Companies, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",On Saving And How To Get Capital For Business,No,High,100,Low,Neutral,High Literacy - Low Income
3/2/2025 18:31,Nairobi,25-40 Years,Employed (Full-Time),Commission,Prefer Not To Say,Yes,3,Oii,Lack Of Trust In Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Accurate And Reliable Financial Advice,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Financial Support,Grateful For This Eye Opening Financial Knowledge,Medium,0,,Neutral,Medium Literacy - nan Income
3/1/2025 18:17,Kajiado,25-40 Years,Student,Salary/Wages,"Less Than 20,000",No,4,"Investment Opportunities, Managing Debt",Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Evidence Based Recommendations,Make It As Simple As Possible,High,20,Low,Neutral,High Literacy - Low Income
3/4/2025 4:59,Uganda,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",Yes,3,Investment Opportunities,Lack Of Capital,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Somewhat Comfortable,Trust In Automated Financial Advice,Giving Of Living Examples,Let The Financial Advisory Be Affordable,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:06,Bungoma,25-40 Years,Employed (Part-Time),Salary/Wages,"50,001-100,000",No,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",50-30-20 Rule,Not Satisfied,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:06,Nairobi,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"50,001-100,000",No,5,"Saving For Education, Retirement Planning, Investment Opportunities",Limited Funds,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",No,"Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Not Comfortable,Accuracy Of Information,Financial Prediction Options,No,High,50,Low,Neutral,High Literacy - Low Income
3/1/2025 20:03,Nairobi,18-24 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",No,3,Investment Opportunities,Limited Financial Sources,Frequently (Weekly Or Monthly),Unknown,Yes,"Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Very Comfortable,Accuracy Of Information,On Saving And How To Get Capital For Business,Leads To Several Other Information Unknowingly,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/2/2025 1:22,Nairobi,41-60 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",Yes,3,Investment Opportunities,Lack Of Financial Knowledge,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",A Free Training,Unknown,Medium,50,Low,Neutral,Medium Literacy - Low Income
